rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/mary-pickford-the-muse-of-the-movies,Mary Pickford: The Muse of the Movies,"Archival film footage and interviews illustrate the life and work of the Hollywood legend, from her early days to her reign as one of the brightest stars of the silent-film era.",,NR,"Documentary, Television","Nicholas Eliopoulos, Nicholas Eliopoulous",Janelle Balnicke,"Michael York, Lillian Gish, Amelia Earhart, Charles Chaplin, Douglas Fairbanks, Douglas Fairbanks Jr.",29/08/2008,12/10/2016,102,Here Films,Fresh,88,8,Upright,100,48,1,7,1
m/momentum_generation,Momentum Generation,"In the 1990s, teenagers from Hawaii become professional surfers and rise to stardom.",,NR,Documentary,"Jeff Zimbalist, Michael Zimbalist","Jeff Zimbalist, Michael Zimbalist","Shane Dorian, Rob Machado, Kelly Slater",,12/12/2018,103,HBO Sports,Fresh,100,6,Upright,100,55,2,6,0
m/most_likely_to_succeed_2019,Most Likely to Succeed,Filmmaker Pamela Littky follows four young adults as they navigate their lives over the course of 10 years.,,NR,Documentary,Pamela Littky,,,06/12/2019,06/12/2019,97,Level 33 Entertainment,Fresh,71,7,Upright,100,5,2,5,2
m/mosul,Mosul,An Iraqi journalist joins an army of uneasy allies in the battle to liberate the city of Mosul from the Islamic State.,,NR,Documentary,Dan Gabriel,"Dan Gabriel, Mike Tucker","Ali Mula, Anouar H. Smaine, Bashar H. Atiyat",,14/05/2019,86,Gravitas Ventures,Fresh,100,5,Upright,100,1080,1,5,0
m/mysteries_of_the_jesus_prayer,Mysteries Of The Jesus Prayer,"Desert hermits show their cells, caves and sanctuaries in the Middle East, Mediterranean, Eastern Europe and Russia.",,NR,"Documentary, Drama",Norris J. Chumley,,John McGuckin,,25/01/2017,114,,Rotten,20,5,Upright,100,20,3,1,4
m/no_small_matter,No Small Matter,An exploration of the impact of high quality preschool education.,,NR,Documentary,"Danny Alpert, Greg Jacobs, Jon Siskel",,Alfre Woodard,27/03/2020,25/06/2020,,Abramorama,Fresh,100,10,Upright,100,5,3,10,0
m/out_stealing_horses,Out Stealing Horses (Ut og Stjæle Hester),"A man retires to solitary life in the Norwegian woods after the death of his wife, but the past resurfaces.","Muted but moving, Out Stealing Horses ambitiously explores the human condition through one man's lifetime of memories.",NR,"Art House & International, Drama",Hans Petter Moland,Hans Petter Moland,"Stellan Skarsgård, Bjørn Floberg, Tobias Santelmann, Jon Ranes, Danica Curcic, Pål Sverre Hagen, Gard B. Eidsvold, Sjur Vatne Brean, Torjus Hopland Vollan, Maria Alm Norell, Tone B. Mostraum, Anders Baasmo Christiansen, Marie Blokhus, Ane Ulimoen Overli, Thorbjørn Harr, Jon Øigarden, Jan Gunnar Roise, Sebastian Stigh, Jonas Jorgensen, Jurijs Kruze",07/08/2020,07/08/2020,123,4 1/2 Film,Fresh,79,33,Upright,100,5,6,26,7
m/pariah_dog,Pariah Dog,"Four social outcasts dedicate themselves to helping stray dogs on the streets of Kolkata, India.",,NR,Documentary,Jesse Alk,,,,18/08/2020,77,Pagol Productions,Fresh,100,9,Upright,100,7,1,9,0
m/rag_doll_2020,Rag Doll,A rising female star of mixed martial arts uses her success in the ring to temper the violence in her personal life.,,NR,Drama,Bailey Kobe,Darren Longley,"Shannon Murray, Dot-Marie Jones, Stephanie Erb, Dante Basco, Hugh B. Holub, Roxana Sanchez, Hope Shapiro, Lateefah Holder, Eddie Alfano",21/02/2020,25/02/2020,103,Gravitas Ventures,Rotten,40,5,Upright,100,12,0,2,3
m/red_penguins,Red Penguins,The Pittsburgh Penguins form a partnership with the Russian national hockey team after the fall of the Soviet Union.,"Sports and politics collide in Red Penguins, a fascinating documentary exploring the stranger-than-fiction story of professional hockey in post-Soviet Russia.",PG-13,Documentary,Gabe Polsky,Gabe Polsky,,,04/08/2020,80,Universal Pictures Home Entertainment,Certified-Fresh,98,41,Upright,100,7,10,40,1
m/return_to_hardwick,Return to Hardwick,Family members of a group of highly-decorated World War II veterans travel to England to uncover an airbase's history.,,PG,Documentary,,,Michael Cudlitz,,07/06/2020,73,Gravitas Ventures,Fresh,100,5,Upright,100,11,1,5,0
m/ride_your_wave,Ride Your Wave,A surfer and a firefighter meet and fall in love.,,NR,"Animation, Anime & Manga, Comedy, Romance",Masaaki Yuasa,"Reiko Yoshida, Stephanie Sheh","Ryota Katayose, Rina Kawaei, Honoka Matsumoto, Kentaro Ito, Joey Richter, Merit Leighton, Sarah Anne Williams, Michael Johnston",19/02/2020,04/08/2020,94,GKIDS,Fresh,93,29,Upright,100,21,7,27,2
m/same_boat,Same Boat,A time-traveling assassin falls in love with the woman he's supposed to kill on a cruise ship.,,NR,"Comedy, Science Fiction & Fantasy, Romance",Chris Roberti,"Josh Itzkowitz, Chris Roberti, Mark Leidner (II)","Chris Roberti, Tonya Glanz, David Bly",,08/04/2020,83,,Fresh,64,11,Upright,100,7,3,7,4
m/sin_alas,Sin Alas,"After a Cuban writer falls for a ballerina who is married to a military leader, he leaves the wealth of his family behind and pursues the excitement and passion during a time of revolution. Years later, he reflects on the mistakes of his youth.",,NR,"Art House & International, Drama",Ben Chace,Ben Chace,"Carlos Padron, Mario Limonta, Yulisleyvís Rodrigues, Lieter Ledesma Alberto, Veronica Lynn, Adael Rosales",11/06/2015,25/01/2017,90,,Fresh,64,11,Upright,100,50,4,7,4
m/skyman,Skyman,A man who believes he had an alien encounter when he was 10 years old tries to re-create the experience as an adult.,,NR,"Documentary, Drama, Science Fiction & Fantasy",Daniel Myrick,Daniel Myrick,"Lee Broda, Michael Selle (III), Paul Wilson, Willow Hale",30/06/2020,07/07/2020,93,Gravitas Ventures,Fresh,63,16,Upright,100,5,4,10,6
m/stay_human,Stay Human,Musician Michael Franti shares inspiring stories of people who have chosen to overcome cynicism with optimism and hope.,,NR,Documentary,Michael Franti,Michael Franti,Michael Franti,,25/01/2019,94,,Fresh,92,12,Upright,100,41,0,11,1
m/streetlight_harmonies,Streetlight Harmonies,The history of Doo-Wop music and the artists who defined a musical generation.,,NR,Documentary,Brent Wilson,"George Bellias, Brent Wilson","LaLa Brooks, Vito Picone, Charlie Thomas, Jimmy Merchant, Lois Powell, Lance Bass, Brian McKnight",,28/03/2020,84,Gravitas Ventures,Fresh,100,9,Upright,100,8,1,9,0
m/suzi_q,Suzi Q,"Trailblazing musician Suzi Quatro becomes the first woman to write songs, play an instrument and sing for a rock 'n' roll band.",Suzi Q is an engaging and edifying stroll through rock pioneer Suzi Quatro's career.,NR,Documentary,Liam Firmager,,"Suzi Quatro, Cherie Currie, KT Tunstall, Alice Cooper, Joan Jett, Deborah Harry, Henry Winkler, Tina Weymouth, Andy Scott, Don Powell, Donita Sparks, Clem Burke, Lita Ford, Tequila Mockingbird, Rodney Bingenheimer, Garry Marshall, Tim Rice",01/07/2020,03/07/2020,98,Altavod,Fresh,100,28,Upright,100,13,7,28,0
m/teenage_badass,Teenage Badass,"A band get the chance to play on the local news, but as all of their dreams start to become a reality, the band's egocentric singer-songwriter threatens to make them lose everything.",,NR,Comedy,Grant McCord,"Matthew D. Dho, Grant McCord","Mcabe Gregg, Evan Ultra, Madelyn Deutch, Dillon Lane, Elsie Hewitt, Karsen Liotta, Julie Ann Emery, Kevin Corrigan, James Paxton, Jim Adkins",,18/09/2020,,Freestyle Digital Media,Fresh,67,12,Upright,100,12,1,8,4
m/the_dalai_lama_scientist,The Dalai Lama: Scientist,The dalai lama grows to become the political and religious leader of the vast kingdom of Tibet.,"Much like the public figure it follows, The Dalai Lama: Scientist explores the meeting places of faith and science, seeing the best in both.",NR,Documentary,Dawn Gifford Engle,Dawn Gifford Engle,"The Dalai Lama, Laurel Harris, Paul Ekman, Matthieu Ricard",,12/05/2020,94,,Fresh,88,26,Upright,100,5,1,23,3
m/the_man_standing_next,The Man Standing Next,South Korean politicians struggle for power in 1979.,,NR,"Drama, Mystery & Suspense",Woo Min-ho,Woo Min-ho,"Lee Byung-hun, Lee Sung-min, Kwak Do-won, Lee Hee-joon, Kim So-jin",,19/05/2020,,,Fresh,75,8,,100,9,2,6,2
m/the_miners_hymns,The Miners' Hymns,Bill Morrison creates a portrait of a vanished way of life in a community in northeastern England.,,NR,"Documentary, Drama, Special Interest",Bill Morrison (II),"David Metcalfe, Bill Morrison (II)","Eric Leckenby, Brian Gibson, Alex Trotter, John Bell, Ian Wynd, Steve Baxter, Jeff Winter, Beth Steele, Owen Wallage, Ellie Lovegrove, Niall Thompson, Tony Thompson, Robert Houssart, Thomas Glendinning, Jóhann Jóhannsson, Russell Jackson, Graham Tedd, Alan Tokeley, Callum Mackay, David Tollington, Alex Maynard",08/02/2012,11/04/2017,52,Icarus Films,Fresh,100,10,Upright,100,148,5,10,0
m/the_most_dangerous_year,The Most Dangerous Year,"Washington state lawmakers, activists and parents embark on a crusade to protect the civil rights of transgender children.",,NR,Documentary,Vlada Knowlton,Vlada Knowlton,"Vlada Knowlton, Vlada Knowlton, Annabelle Knowlton, Annabelle Knowlton, Megan Trainer, Megan Trainer, Ryan Trainer, Ryan Trainer, Maya Trainer, Maya Trainer, Sarah Mitchell, Sarah Mitchell, Ve' Mitchell, Ve' Mitchell, Tiffany Kelly, Tiffany Kelly, Skyler Kelly, Skyler Kelly, Huddle Blakefield, Huddle Blakefield, Matt Blakefield, Matt Blakefield",12/04/2019,09/07/2019,90,,Fresh,91,11,Upright,100,40,3,10,1
m/the_uncondemned,The Uncondemned,"An underdog group of lawyers and activists defied the odds to do what had never been done: prosecute rape as an international war crime. In 1997, the young men and women at the International Criminal Tribunal for Rwanda found themselves inexplicably in charge of the first case of genocide in history. Underfunded, understaffed and overwhelmed, they faced incredible hurdles as they pursued their first case against a small-town mayor.",,NR,Documentary,"Nick Louvel, Michele Mitchell",Michele Mitchell,"Sara Darehshori, Patricia Sellers, Pierre-Richard Prosper, Binaifer Nowrojee, Lisa Pruitt, Godelieve Mukasarasi, JJ, NN, OO",21/10/2016,04/04/2019,81,Film at Eleven,Fresh,100,13,Upright,100,124,6,13,0
m/tijuana_jackson_purpose_over_prison,Tijuana Jackson: Purpose Over Prison,"Upon his release, an ex-convict sets out to fulfill his dream of becoming a world-renowned motivational speaker.",,NR,Comedy,Romany Malco,Romany Malco,"Romany Malco, Regina Hall, Tami Roman, Alkoya Brunson, Tyler Cassidy, Lyne Odums, Shannon Dang",24/07/2020,24/07/2020,96,Cranked Up Films,Fresh,67,6,Upright,100,46,1,4,2
m/up_on_the_glass,Up on the Glass,Envy and past tensions spark violence between former college friends during an informal reunion at a cottage on Lake Michigan.,,NR,"Drama, Mystery & Suspense",Kevin Del Principe,"Nikki Brown, Kevin Del Principe","Chase Fein, Chelsea Kurtz, Hunter Cross, Steve Holm, Jessica Lynn Parsons, Nikki Brown",,08/09/2020,96,Save Them Wild Dogs Inc.,Rotten,50,8,Upright,100,7,0,4,4
m/waldo_on_weed,Waldo On Weed,A couple decide to treat their cancer-ridden son with CBD oil after he has an adverse reaction to chemotherapy.,,NR,Documentary,Tommy Avallone,,,,17/03/2020,87,Double Windsor Films,Fresh,100,7,Upright,100,6,2,7,0
m/wedding_banquet,The Wedding Banquet (Xi yan),"Wai-Tung (Winston Chao) and his boyfriend (Mitchell Lichtenstein) live happily as a gay couple in New York City. Wai-Tung has not been open about his sexuality with his Taiwanese parents (Sihung Lung, Ah-Leh Gua), and decides to acquiesce to their wish for a traditional Chinese union by marrying Wei-Wei (May Chin), a struggling artist desperate for a green card. But the simple arrangement turns into a lavish debacle when Wai-Tung's parents plan an extravagant wedding banquet.",Ang Lee's funny and ultimately poignant comedy of manners reveals the filmmaker's skill across genres.,R,"Art House & International, Comedy, Drama, Romance, Gay & Lesbian",Ang Lee,"Ang Lee, James Schamus, Neil Peng","Winston Chao, May Chin, Mitchell Lichtenstein, Sihung Lung, Ah-Leh Gua, Tien Pien, Neal Huff, Michael Gaston, Jeffrey Howard, Anthony 'Iggy' Ingoglia, Dion Birney, John Nathan Turner, Patricia Sullivan, Jeanne Kuo Chang, Mason Lee, Ang Lee, Chung-Wei Chon",04/08/1993,01/03/2017,107,Good Machine,Fresh,96,28,Upright,100,5,8,27,1
m/wonders_of_the_sea_2019,Wonders of the Sea,"From Fiji to the Bahamas, Jean-Michel Cousteau and his children explore the ocean to learn about the threats it faces.",,NR,Documentary,"Jean-Jacques Mantello, Jean-Michel Cousteau","David Chocron, François Mantello, Jean-Jacques Mantello","Arnold Schwarzenegger, Celine Cousteau, Fabien Cousteau, Jean-Michel Cousteau",17/01/2019,04/06/2019,83,Fathom Events,Fresh,76,17,Upright,100,14,4,13,4
m/back_roads_2018,Back Roads,A young man's life spirals out of control when he has a dangerous affair with an older married woman in rural Pennsylvania.,"Uneven yet ultimately intriguing, Back Roads serves as a memorable calling card for star and debuting director Alex Pettyfer's talent behind the camera.",NR,Drama,Alex Pettyfer,"Tawni O'Dell, Adrian Lyne","Alex Pettyfer, Jennifer Morrison, Nicola Peltz, Chiara Aurelia, Hala Finley, June Carryl, Robert Patrick, Juliette Lewis",07/12/2018,07/12/2018,101,Samuel Goldwyn Films,Rotten,55,29,Upright,99,1915,10,16,13
m/dave_chappelle_sticks_and_stones,Dave Chappelle: Sticks & Stones,,"Edgy, but empty, Sticks and Stones won't break any bones, but it won't elicit many laughs, either.",NR,Comedy,Stan Lathan,Dave Chappelle,Dave Chappelle,,26/08/2019,,Netflix,Rotten,35,17,Upright,99,40887,3,6,11
m/just_mercy,Just Mercy,"After graduating from Harvard, Bryan Stevenson heads to Alabama to defend those wrongly condemned or those not afforded proper representation. One of his first cases is that of Walter McMillian, who is sentenced to die in 1987 for the murder of an 18-year-old girl, despite evidence proving his innocence. In the years that follow, Stevenson encounters racism and legal and political maneuverings as he tirelessly fights for McMillian's life.","Just Mercy dramatizes a real-life injustice with solid performances, a steady directorial hand, and enough urgency to overcome a certain degree of earnest advocacy.",PG-13,Drama,Destin Daniel Cretton,"Destin Daniel Cretton, Andrew Lanham","Michael B. Jordan, Jamie Foxx, Brie Larson, Rob Morgan, Tim Blake Nelson, Karan Kendrick, Rafe Spall, O'Shea Jackson, Jr., Rhoda Griffis, Andrene Ward-Hammond, Drew Scheid, Darrell Britt-Gibson, Steve Coulter, Elizabeth Becka, Claire Bronson, Tonea Stewart, Lindsay Ayliffe",10/01/2020,25/12/2019,136,Warner Bros. Pictures,Certified-Fresh,84,289,,99,11821,47,243,46
m/linda_ronstadt_the_sound_of_my_voice,Linda Ronstadt: The Sound of My Voice,The life and career of singer Linda Ronstadt is traced from her childhood in Tucson through her decades-long career and to her retirement in 2011 due to Parkinson's disease.,Linda Ronstadt: The Sound of My Voice offers an engaging overview of its subject's career that should entertain fans and the uninitiated alike.,PG-13,Documentary,"Rob Epstein, Jeffrey Friedman",,"Linda Ronstadt, Dolly Parton, Bonnie Raitt, Emmylou Harris, Jackson Browne, Don Henley, David Geffen, Aaron Neville",06/09/2019,07/09/2019,95,Greenwich Entertainment,Certified-Fresh,89,91,,99,555,16,81,10
m/maktub_2018,Maktub,"After surviving a restaurant bombing in Jerusalem, two criminals decide to change their ways. They fulfill the wishes of strangers by answering prayers left at the Wailing Wall.",,NR,"Art House & International, Comedy, Drama",Oded Raz,"Guy Amir, Hanan Savyon","Guy Amir, Hanan Savyon, Gal Amitai, Chen Amsalem, Edna Blilious, Itzik Cohen, Ami Anijar, Abraham Celektar, Anastasia Fein, Aryeh Cherner, Igal Naor, Hilla Sarjon, Yair Lehman, Moran Marziano, Benjamin Schwabe",15/06/2018,15/06/2018,100,Firma Films,Fresh,100,5,Upright,99,401,1,5,0
