rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/dangerous_ishhq,Dangerous Ishhq,"After her lover (Divya Dutta) is kidnapped, a woman (Karisma Kapoor) has visions of them together in the past, and she believes that -- if she can unlock a puzzle -- she will be able to rescue him.",,NR,"Horror, Mystery & Suspense",Vikram Bhatt,Amin Hajee,"Karisma Kapoor, Jimmy Shergill, Rajniesh Duggal, Rajneesh Duggal, Divya Dutta",11/05/2012,21/08/2020,,Reliance Big Pictures,Rotten,20,5,Spilled,31,107,2,1,4
m/dead_dicks,Dead Dicks,,,NR,Horror,"Chris Bavota, Lee Paula Springer","Chris Bavota, Lee Paula Springer","Heston Horwin, Jillian Harris, Kristina Sandev, Leyda Aleyli, Matt Keyes",07/12/2019,28/07/2020,,,Fresh,100,9,Spilled,58,12,0,9,0
m/deathstroke_knights_and_dragons,Deathstroke: Knights & Dragons,The assassin Deathstroke tries to save his family from the wrath of H.I.V.E. and the murderous Jackal.,,R,"Action & Adventure, Animation",Sung Jin Ahn,,"Michael Chiklis, Sasha Alexander, Asher Bishop, Noshir Dalal, Castulo Guerra",,05/07/2020,87,Warner Bros. Home Entertainment,Fresh,80,10,Spilled,57,53,0,8,2
m/deep_blue_sea_3,Deep Blue Sea 3,"Dr. Emma Collins and her team are spending their third summer on the island of Little Happy studying the effect of climate change on the great white sharks who come to the nearby nursery every year to give birth. However, their peaceful life is disrupted when a ""scientific"" team shows up looking for three bull sharks.",,R,Horror,John Pogue,Dirk Blackman,"Tania Raymonde, Nathaniel Buzolic, Emerson Brooks, Bren Foster, Reina Aoi, Alex Bhat",,05/07/2020,99,Warner Bros. Home Entertainment,Fresh,69,13,Spilled,38,96,0,9,4
m/deerskin,Deerskin,A man's obsession with his designer deerskin jacket causes him to blow his life savings and turn to crime.,"Led by a daring performance from Jean Dujardin, Deerskin finds writer-director Quentin Dupieux working in a more accessible -- yet still distinctive -- vein.",NR,Comedy,Quentin Dupieux,Quentin Dupieux,"Jean Dujardin, Adèle Haenel, Albert Delpy, Coralie Russier",20/03/2020,26/06/2020,77,,Certified-Fresh,87,103,Upright,71,42,15,90,13
m/denise_ho_becoming_the_song,Denise Ho: Becoming the Song,The remarkable journey of Denise Ho -- from Hong Kong pop superstar to human rights activist.,,NR,Documentary,Sue Williams,,Denise Ho,01/07/2020,03/08/2020,83,Aquarian Works,Fresh,90,10,,,,4,9,1
m/diana_kennedy_nothing_fancy,Diana Kennedy: Nothing Fancy,"Filmmaker Elizabeth Carroll examines the vibrant and unconventional life of Diana Kennedy, widely regarded as the world's leading expert on Mexican cuisine.","A documentary that lives up to its title, Diana Kennedy: Nothing Fancy shines an entertaining spotlight on the career and delightful personality of its subject.",NR,Documentary,Elizabeth Carroll,Diana Kennedy,"José Andrés, Alice Waters",22/05/2020,22/06/2020,73,Greenwich Entertainment,Fresh,100,33,,,,8,33,0
m/dirt_music_2019,Dirt Music,A woman falls in love with a mysterious loner who's haunted by a tragic accident from the past.,"As beautifully filmed as it is emotionally hollow, Dirt Music goes digging for romance but only buries the audience in mounds of melodrama.",NR,Drama,Gregor Jordan,Jack Thorne,"Aaron Pedersen, Dan Wyllie, David Wenham, Garrett Hedlund, Kelly Macdonald, Chris Haywood, Ava Caryofyllis, Jessica Niven",,17/07/2020,105,Samuel Goldwyn Films,Rotten,29,41,Spilled,55,11,8,12,29
m/do_knot_disturb,Do Knot Disturb,A case of mistaken identities unfolds when a businessman (Govinda) tries to cover up his extramarital affair with a model (Lara Dutta) by hiring a waiter to pose as the model's boyfriend.,,NR,"Art House & International, Comedy, Musical & Performing Arts",David Dhawan,Yunus Sejawal,"Govinda, Lara Dutta, Ritesh Deshmukh, Sushmita Sen, Sohail Khan, Ranvir Shorey, Manoj Pahwa, Rituparna Sengupta, Himani Shivpuri, Rajpal Yadav, Ali Asgar, Satish Kaushik",02/10/2009,11/08/2020,126,Big Pictures,Rotten,20,5,Spilled,22,261,2,1,4
m/dont_be_nice,Don't Be Nice,"The upstart Bowery Slam Poetry Team, made up of five African-American, Afro-Hispanic and queer poets in their 20s, prepares for the national championships.",,NR,Documentary,Max Powers,,,20/09/2019,19/07/2020,96,Juno Films,Fresh,100,10,Upright,86,14,3,10,0
m/dreamland_2020,Dreamland,"On the night of the strangest wedding in cinema history, a grotesque gang boss hires a stone cold killer to bring him the finger of a fading, drug-addicted jazz legend.","While it may entrance audiences in search of the thoroughly strange, Dreamland lives down to its title by failing to cohere in any meaningful way.",NR,"Action & Adventure, Comedy, Science Fiction & Fantasy",Bruce McDonald,"Tony Burgess, Patrick Whistler","Stephen McHattie, Henry Rollins, Juliette Lewis, Lisa Houle, Tómas Lemarquis",05/06/2020,03/06/2020,92,Dark Star Pictures,Rotten,48,33,,,,9,16,17
m/driven_2020,Driven,A ride share driver and her passenger form an unlikely team to defeat the forces of evil in one crazy ride.,,NR,"Comedy, Horror, Mystery & Suspense",Glenn Payne,Casey Dillard,"Casey Dillard, Richard Speight Jr, Jessica Harthcock, Nicholas Roylance, Andy Field, Bill Luckett, Leah Hudspeth, Glenn Payne, Coley Bryant",,16/06/2020,90,Uncork'd Entertainment,Fresh,71,7,Upright,86,7,0,5,2
m/easy_does_it,Easy Does It,Two best friends and their accidental hostage careen across the 1970s American South on a treasure hunt-turned crime spree.,,NR,"Action & Adventure, Comedy",Will Addison,"Ben Matheny, Will Addison","Linda Hamilton, Bryan Batt, Ben Matheny, Dwight Henry, Matthew Paul Martinez, Susan Gordon, John Goodman",,17/07/2020,97,Gravitas Ventures,Rotten,29,7,Upright,79,19,1,2,5
m/eating_up_easter,Eating Up Easter,The most isolated community in the Pacific grapples with environmental and social challenges brought on by booming tourism and rapid development.,,NR,Documentary,Sergio Mata'u Rapu,Elena Rapu,,,27/06/2020,70,,Fresh,86,7,,,,1,6,1
m/elvis_from_outer_space,Elvis from Outer Space,,,NR,Comedy,"Tracy Wuischpard, M. Z. Silverman",,,07/07/2020,07/07/2020,92,,Rotten,0,6,,,,0,0,6
m/emperor_2020,Emperor,"Fighting his way north to free himself and his family, outlaw slave Shields ""Emperor"" Green joins forces with abolitionist John Brown for a daring raid in Harpers Ferry, W.Va., in 1859.",,PG-13,Drama,Mark Amin,"Mark Amin, Pat Charles","Dayo Okeniyi, Naturi Naughton, Kat Graham, Mykelti Williamson, James Cromwell, Bruce Dern",27/03/2020,18/08/2020,99,Universal Pictures,Fresh,77,13,Upright,68,31,4,10,3
m/endless,Endless,"Stuck in limbo after dying in a car accident, a young man transcends life and death by finding a way to reconnect with the woman he loves.","While it hopes to make viewers swoon over a bond that defies death, all but the most passionate fans of YA romance may struggle to arouse even puppy love for Endless.",NR,"Drama, Science Fiction & Fantasy, Romance",Scott Speer,"Oneil Sharma, Andre Case","Alexandra Shipp, Nicholas Hamilton, DeRon Horton, Famke Janssen, Ian Tracey, Patrick Gilmore",14/08/2020,14/08/2020,94,Quiver Distribution,Rotten,13,24,Spilled,11,9,5,3,21
m/enter_the_fat_dragon_2020,Enter the Fat Dragon,A police officer investigates the mysterious death of a suspect who was in his custody during a routine transfer.,,NR,"Action & Adventure, Comedy",Kenji Tanigaki,Jing Wong,"Donnie Yen, Teresa Mo, Niki Chow, Jing Wong, Jessica Jann, Philip Ng, Sandra Kwan, Naoto Takenaka, Hayama Hiro, Kai-Chung Cheung, Joey Iwanaga, Tetsu Watanabe, Anthony Chan, Qiunan Lin, Cho-lam Wong, Yan Hua, Tyson Chak, Shing-Bun Lam, Jerry Lamb, Sui-man Chim, Lawrence Chou",14/02/2020,12/07/2020,97,Well Go USA Entertainment,Fresh,64,11,,90,10,0,7,4
m/exit_plan,Exit Plan (Selvmords turisten),"Max is an insurance agent who's in the midst of an existential crisis. While solving a difficult case of a married man's disappearance, he uncovers the secret Hotel Aurora, which he seeks out to find. The hotel is an exclusive, remote, luxury resort that specializes in suicide. His investigation soon reveals a disturbing truth that causes Max to question life, death and his own understanding of reality.","A would-be thriller that leans a little too hard into its hero's existential crisis, Exit Plan will leave most viewers looking for the door.",NR,"Drama, Mystery & Suspense",Jonas Alexander Arnby,Rasmus Birch,"Nikolaj Coster-Waldau, Tuva Novotny, Robert Aramayo, Jan Bijvoet, Sonja Richter, Solbjørg Højfeldt, Slimane Dazi, Lorraine Hilton, Kaya Wilkins, Johanna Wokalek",12/06/2020,12/06/2020,90,Screen Media Films,Rotten,38,26,Spilled,33,6,6,10,16
m/family_romance_llc,"Family Romance, LLC",A man is hired to impersonate the missing father of a 12-year-old girl.,"A fascinating exploration of human connection, Family Romance, LLC sees Werner Herzog following an unconventional path to existentialism.",NR,Drama,Werner Herzog,Werner Herzog,"Yuichi Ishii, Mahiro Tanimoto, Miki Fujimaki, Takashi Nakatani, Kumi Manda, Yuka Watanabe",,03/07/2020,89,MUBI,Certified-Fresh,75,51,Upright,70,20,14,38,13
m/fatima_2020,Fatima,In 1917 three Portuguese children receive multiple visits from the Virgin Mary.,"Hard not to respect but difficult to love, Fatima competently dramatizes an incredible true story.",PG-13,Drama,Marco Pontecorvo,"Marco Pontecorvo, Valerio D'Annunzio, Barbara Nicolosi","Joaquim de Almeida, Goran Visnjic, Stephanie Gil, Alejandra Howard, Jorge Lamelas, Lúcia Moniz, Marco D'Almeida, Joana Ribeiro, Carla Chambel, Elmano Sancho, João D'Ávila, Iris Cayatte, João Luis Arrais, Simão Cayatte, Sonia Braga, Harvey Keitel",28/08/2020,28/08/2020,113,Picturehouse,Fresh,62,42,,94,69,7,26,16
m/feel_the_beat,Feel the Beat,"After failing to find success on Broadway, April returns to her hometown and is recruited to train a misfit group of young dancers.",,NR,Drama,Elissa Down,"Michael Armbruster, Shawn Ku","Sofia Carson, Wolfgang Novogratz, Donna Lynne Champlin, Rex Lee, Brandon Kyle Goodman, Lidya Jewett, Sadie Lapidus, Johanna Colón, Shaylee Mansfield, Shiloh Nelson, Carina Battrick, Enrico Colantoni, Marissa Jaret Winokur, Dennis Andres, Marcia Bennett, Drew Davis, Pat Thornton, Ken Pak, Pamela MacDonald, Merle Newell, Karen Skidmore, Ali Badshah, Sandra Battaglini, Elana Dunkelman, Jarret Wright, Hailey Hermida",19/06/2020,22/06/2020,109,Netflix,Rotten,47,15,Spilled,57,141,1,7,8
